ResultID,Node2_x,Node2_y,MaxAxialForce,MaxStress,SumOfSxC,MaxSxC
282,0.125,-1.437,1.1707981371172809,1.1707981371172809,341.7667362560892,365.85841900625445
283,0.125,-1.435,1.1712397271749242,1.1712397271749242,341.44250871080146,365.5630066486348
284,0.125,-1.433,1.1716829999928131,1.1716829999928131,341.11849267271464,365.26787010294646
285,0.125,-1.431,1.1721279640029718,1.1721279640029718,340.79468902865136,364.9730104566319
286,0.125,-1.429,1.1725746276897198,1.1725746276897198,340.47109867039876,364.67842880287355
287,0.125,-1.427,1.1730229995900627,1.1730229995900627,340.14772249474413,364.38412624063324
288,0.125,-1.425,1.1734730882940805,1.1734730882940805,339.8245614035088,364.09010387468976
289,0.125,-1.423,1.1739249024453193,1.1739249024453193,339.5016163035839,363.7963628156775
290,0.125,-1.421,1.1743784507411945,1.1743784507411945,339.17888810696684,363.5029041801276
291,0.125,-1.419,1.1748337419333867,1.1748337419333867,338.85637773079634,363.2097290905053
292,0.125,-1.417,1.1752907848282463,1.1752907848282463,338.5340860973888,362.9168386752507
293,0.125,-1.415,1.175749588287203,1.175749588287203,338.2120141342757,362.6242340688195
294,0.125,-1.413,1.1762101612271754,1.1762101612271754,337.8901627742392,362.3319164117224
295,0.125,-1.411,1.1766725126209872,1.1766725126209872,337.56853295535075,362.0398868505668
296,0.125,-1.409,1.1771366514977846,1.1771366514977846,337.24712562100797,361.7481465380979
297,0.125,-1.407,1.1776025869434568,1.1776025869434568,336.92594171997155,361.45669663323895
298,0.125,-1.405,1.1780703281010665,1.1780703281010665,336.6049822064058,361.1655383011357
299,0.125,-1.403,1.1785398841712738,1.1785398841712738,336.2842480399145,360.8746727131958
300,0.125,-1.401,1.179011264412773,1.179011264412773,335.96374018558174,360.58410104713323
301,0.125,-1.399,1.1794844781427294,1.1794844781427294,335.64345961401,360.2938244870107
302,0.125,-1.397,1.1799595347372178,1.1799595347372178,335.3234073013601,360.00384422328244
303,0.125,-1.395,1.1804364436316699,1.1804364436316699,335.00358422939075,359.7141614528386
304,0.125,-1.393,1.1809152143213206,1.1809152143213206,334.683991385499,359.42477737904846
305,0.125,-1.391,1.181395856361663,1.181395856361663,334.36462976276056,359.1356932118053
306,0.125,-1.389,1.1818783793689038,1.1818783793689038,334.04550035997113,358.84691016757125
307,0.125,-1.387,1.182362793020424,1.182362793020424,333.7266041816871,358.558429469422
308,0.125,-1.385,1.1828491070552425,1.1828491070552425,333.407942238267,358.27025234709214
309,0.125,-1.383,1.1833373312744875,1.1833373312744875,333.0895155459147,357.98238003702176
310,0.125,-1.381,1.1838274755418672,1.1838274755418672,332.7713251267197,357.69481378240175
311,0.125,-1.379,1.1843195497841479,1.1843195497841479,332.4533720087019,357.40755483322107
312,0.125,-1.377,1.1848135639916366,1.1848135639916366,332.1356572258534,357.120604446314
313,0.125,-1.375,1.1853095282186636,1.1853095282186636,331.81818181818187,356.8339638854064
314,0.125,-1.373,1.1858074525840754,1.1858074525840754,331.5009468317552,356.5476344211645
315,0.125,-1.371,1.186307347271729,1.186307347271729,331.1839533187454,356.2616173312436
316,0.125,-1.369,1.186809222530989,1.186809222530989,330.8672023374726,355.9759139003351
317,0.125,-1.367,1.1873130886772323,1.1873130886772323,330.55069495245067,355.69052542021694
318,0.125,-1.365,1.1878189560923558,1.1878189560923558,330.23443223443223,355.40545318980236
319,0.125,-1.363,1.188326835225288,1.188326835225288,329.9184152604548,355.12069851519004
320,0.125,-1.361,1.1888367365925085,1.1888367365925085,329.60264511388675,354.8362627097147
321,0.125,-1.359,1.1893486707785654,1.1893486707785654,329.28712288447383,354.552147093997
322,0.125,-1.357,1.189862648436605,1.189862648436605,328.97184966838614,354.2683529959953
323,0.125,-1.355,1.1903786802889025,1.1903786802889025,328.6568265682656,353.98488175105734
324,0.125,-1.353,1.1908967771273975,1.1908967771273975,328.34205469327424,353.7017347019721
325,0.125,-1.351,1.1914169498142337,1.1914169498142337,328.0275351591414,353.4189131990223
326,0.125,-1.349,1.1919392092823067,1.1919392092823067,327.71326908821345,353.1364186000371
327,0.125,-1.347,1.1924635665358134,1.1924635665358134,327.3992576095027,352.85425227044635
328,0.125,-1.345,1.1929900326508074,1.1929900326508074,327.0855018587361,352.57241558333345
329,0.125,-1.343,1.1935186187757596,1.1935186187757596,326.7720029784067,352.2909099194901
330,0.125,-1.341,1.1940493361321254,1.1940493361321254,326.4587621178225,352.00973666747115
331,0.125,-1.339,1.194582196014915,1.194582196014915,326.1457804331591,351.7288972236503
332,0.125,-1.337,1.1951172097932687,1.1951172097932687,325.8330590875094,351.44839299227476
333,0.125,-1.335,1.1956543889110385,1.1956543889110385,325.52059925093624,351.16822538552253
334,0.125,-1.333,1.1961937448873765,1.1961937448873765,325.20840210052506,350.88839582355854
335,0.125,-1.331,1.1967352893173255,1.1967352893173255,324.89646882043576,350.60890573459244
336,0.125,-1.329,1.1972790338724169,1.1972790338724169,324.5848006019563,350.32975655493544
337,0.125,-1.327,1.1978249903012739,1.1978249903012739,324.2733986435569,350.0509497290596
338,0.125,-1.325,1.1983731704302203,1.1983731704302203,323.9622641509434,349.77248670965565
339,0.125,-1.323,1.1989235861638943,1.1989235861638943,323.6513983371126,349.49436895769276
340,0.125,-1.321,1.19947624948587,1.19947624948587,323.34080242240714,349.2165979424785
341,0.125,-1.319,1.2000311724592811,1.2000311724592811,323.03047763457164,348.9391751417186
342,0.125,-1.317,1.2005883672274527,1.2005883672274527,322.7204252088079,348.66210204157795
343,0.125,-1.315,1.2011478460145402,1.2011478460145402,322.4106463878327,348.3853801367425
344,0.125,-1.313,1.2017096211261704,1.2017096211261704,322.1011424219345,348.1090109304805
345,0.125,-1.311,1.202273704950092,1.202273704950092,321.79191456903123,347.832995934705
346,0.125,-1.309,1.2028401099568322,1.2028401099568322,321.4829640947288,347.55733667003784
347,0.125,-1.307,1.2034088487003543,1.2034088487003543,321.1742922723794,347.2820346658719
348,0.125,-1.305,1.2039799338187296,1.2039799338187296,320.8659003831417,347.00709146043636
349,0.125,-1.303,1.2045533780348077,1.2045533780348077,320.5577897160399,346.73250860086057
350,0.125,-1.301,1.2051291941568985,1.2051291941568985,320.2499615680246,346.4582876432399
351,0.125,-1.299,1.2057073950794586,1.2057073950794586,319.9424172440339,346.1844301527014
352,0.125,-1.297,1.2062879937837836,1.2062879937837836,319.6351580570547,345.91093770347055
353,0.125,-1.295,1.2068710033387084,1.2068710033387084,319.32818532818527,345.6378118789382
354,0.125,-1.293,1.2074564369013128,1.2074564369013128,319.0215003866976,345.365054271728
